id,city,month,match_type,team_a,team_b,toss_won,toss_decision,venue,score_a,score_b,winner
344,Colombo,June,ODI,Sri Lanka,Pakistan,Sri Lanka,bat,R Premadasa Stadium,243,199,Sri Lanka
345,Leicester,July,ODI,Pakistan,Sri Lanka,Sri Lanka,bat,Grace Road,206,221,Sri Lanka
346,Karachi,September,ODI,Pakistan,Sri Lanka,Pakistan,bat,National Stadium,305,238,Pakistan
347,,November,ODI,Pakistan,Sri Lanka,Pakistan,bat,Sharjah Cricket Stadium,200,174,Pakistan
348,Colombo,February,ODI,Sri Lanka,Pakistan,Sri Lanka,field,Nondescripts Cricket Club Ground,216,212,Sri Lanka
349,,August,ODI,Sri Lanka,Pakistan,Sri Lanka,field,Rangiri Dambulla International Stadium,169,168,Sri Lanka
350,Abu Dhabi,October,ODI,Sri Lanka,Pakistan,Sri Lanka,bat,Sheikh Zayed Stadium,208,209,Pakistan
351,Abu Dhabi,December,ODI,Pakistan,Sri Lanka,Sri Lanka,bat,Sheikh Zayed Stadium,226,225,Pakistan
352,Colombo,February,ODI,Sri Lanka,Pakistan,Pakistan,bat,R Premadasa Stadium,266,277,Pakistan
353,,October,ODI,Pakistan,Sri Lanka,Sri Lanka,field,Dubai International Cricket Stadium,292,209,Pakistan
354,,July,ODI,Sri Lanka,Pakistan,Pakistan,field,Rangiri Dambulla International Stadium,232,196,Sri Lanka
355,Hambantota,August,ODI,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",310,233,Sri Lanka
356,,December,ODI,Pakistan,Sri Lanka,Pakistan,bat,Sharjah Cricket Stadium,322,311,Pakistan
357,,December,ODI,Pakistan,Sri Lanka,Sri Lanka,field,Dubai International Cricket Stadium,284,287,Sri Lanka
358,Abu Dhabi,December,ODI,Pakistan,Sri Lanka,Pakistan,bat,Sheikh Zayed Stadium,232,235,Sri Lanka
