id,city,month,match_type,team,batsman,position,bowler,over_no,ball_no,venue,wicket_out,score
76,,February,ODI,Pakistan,Inzamam-ul-Haq,5,IK Pathan,12,2,Rawalpindi Cricket Stadium,False,1
77,,February,ODI,Pakistan,Shoaib Malik,3,IK Pathan,12,3,Rawalpindi Cricket Stadium,False,0
78,,February,ODI,Pakistan,Shoaib Malik,3,IK Pathan,12,4,Rawalpindi Cricket Stadium,False,0
79,,February,ODI,Pakistan,Shoaib Malik,3,IK Pathan,12,5,Rawalpindi Cricket Stadium,False,0
80,,February,ODI,Pakistan,Shoaib Malik,3,IK Pathan,12,6,Rawalpindi Cricket Stadium,False,4
81,,February,ODI,Pakistan,Inzamam-ul-Haq,5,Z Khan,13,1,Rawalpindi Cricket Stadium,False,2
82,,February,ODI,Pakistan,Inzamam-ul-Haq,5,Z Khan,13,2,Rawalpindi Cricket Stadium,True,0
83,,February,ODI,Pakistan,Younis Khan,6,Z Khan,13,3,Rawalpindi Cricket Stadium,False,1
84,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,13,4,Rawalpindi Cricket Stadium,False,1
85,,February,ODI,Pakistan,Younis Khan,6,Z Khan,13,5,Rawalpindi Cricket Stadium,False,1
86,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,13,6,Rawalpindi Cricket Stadium,False,0
87,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,14,1,Rawalpindi Cricket Stadium,False,4
88,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,14,2,Rawalpindi Cricket Stadium,False,0
89,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,14,3,Rawalpindi Cricket Stadium,False,1
90,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,14,4,Rawalpindi Cricket Stadium,False,0
91,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,14,5,Rawalpindi Cricket Stadium,False,1
92,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,14,6,Rawalpindi Cricket Stadium,False,0
93,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,15,1,Rawalpindi Cricket Stadium,False,1
94,,February,ODI,Pakistan,Younis Khan,6,Z Khan,15,2,Rawalpindi Cricket Stadium,False,0
95,,February,ODI,Pakistan,Younis Khan,6,Z Khan,15,3,Rawalpindi Cricket Stadium,False,0
96,,February,ODI,Pakistan,Younis Khan,6,Z Khan,15,4,Rawalpindi Cricket Stadium,False,1
97,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,15,5,Rawalpindi Cricket Stadium,False,0
98,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,15,6,Rawalpindi Cricket Stadium,False,0
99,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,16,1,Rawalpindi Cricket Stadium,False,0
100,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,16,2,Rawalpindi Cricket Stadium,False,4
101,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,16,3,Rawalpindi Cricket Stadium,False,0
102,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,16,4,Rawalpindi Cricket Stadium,False,1
103,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,16,5,Rawalpindi Cricket Stadium,False,0
104,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,16,6,Rawalpindi Cricket Stadium,False,0
105,,February,ODI,Pakistan,Younis Khan,6,Z Khan,17,1,Rawalpindi Cricket Stadium,False,1
106,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,17,2,Rawalpindi Cricket Stadium,False,1
107,,February,ODI,Pakistan,Younis Khan,6,Z Khan,17,3,Rawalpindi Cricket Stadium,False,0
108,,February,ODI,Pakistan,Younis Khan,6,Z Khan,17,4,Rawalpindi Cricket Stadium,False,0
109,,February,ODI,Pakistan,Younis Khan,6,Z Khan,17,5,Rawalpindi Cricket Stadium,False,0
110,,February,ODI,Pakistan,Younis Khan,6,Z Khan,17,6,Rawalpindi Cricket Stadium,False,4
111,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,18,1,Rawalpindi Cricket Stadium,False,0
112,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,18,2,Rawalpindi Cricket Stadium,False,0
113,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,18,3,Rawalpindi Cricket Stadium,False,0
114,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,18,4,Rawalpindi Cricket Stadium,False,0
115,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,18,5,Rawalpindi Cricket Stadium,False,1
116,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,18,6,Rawalpindi Cricket Stadium,False,0
117,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,19,1,Rawalpindi Cricket Stadium,False,0
118,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,19,2,Rawalpindi Cricket Stadium,False,0
119,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,19,3,Rawalpindi Cricket Stadium,False,0
120,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,19,4,Rawalpindi Cricket Stadium,False,0
121,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,19,5,Rawalpindi Cricket Stadium,False,4
122,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,19,6,Rawalpindi Cricket Stadium,False,0
123,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,20,1,Rawalpindi Cricket Stadium,False,0
124,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,20,2,Rawalpindi Cricket Stadium,False,1
125,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,20,3,Rawalpindi Cricket Stadium,False,0
126,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,20,4,Rawalpindi Cricket Stadium,False,1
127,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,20,5,Rawalpindi Cricket Stadium,False,1
128,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,20,6,Rawalpindi Cricket Stadium,False,0
129,,February,ODI,Pakistan,Younis Khan,6,Z Khan,21,1,Rawalpindi Cricket Stadium,False,0
130,,February,ODI,Pakistan,Younis Khan,6,Z Khan,21,2,Rawalpindi Cricket Stadium,False,0
131,,February,ODI,Pakistan,Younis Khan,6,Z Khan,21,3,Rawalpindi Cricket Stadium,False,0
132,,February,ODI,Pakistan,Younis Khan,6,Z Khan,21,4,Rawalpindi Cricket Stadium,False,0
133,,February,ODI,Pakistan,Younis Khan,6,Z Khan,21,5,Rawalpindi Cricket Stadium,False,1
134,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,21,6,Rawalpindi Cricket Stadium,False,0
135,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,22,1,Rawalpindi Cricket Stadium,False,0
136,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,22,2,Rawalpindi Cricket Stadium,False,0
137,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,22,3,Rawalpindi Cricket Stadium,False,0
138,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,22,4,Rawalpindi Cricket Stadium,False,4
139,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,22,5,Rawalpindi Cricket Stadium,False,0
140,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,22,6,Rawalpindi Cricket Stadium,False,0
141,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,23,1,Rawalpindi Cricket Stadium,False,4
142,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,23,2,Rawalpindi Cricket Stadium,False,1
143,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,23,3,Rawalpindi Cricket Stadium,False,0
144,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,23,4,Rawalpindi Cricket Stadium,False,0
145,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,23,5,Rawalpindi Cricket Stadium,False,1
146,,February,ODI,Pakistan,Younis Khan,6,Z Khan,23,6,Rawalpindi Cricket Stadium,False,1
147,,February,ODI,Pakistan,Shoaib Malik,3,Z Khan,23,7,Rawalpindi Cricket Stadium,False,1
148,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,24,1,Rawalpindi Cricket Stadium,False,2
149,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,24,2,Rawalpindi Cricket Stadium,False,0
150,,February,ODI,Pakistan,Shoaib Malik,3,AB Agarkar,24,3,Rawalpindi Cricket Stadium,False,1
151,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,24,4,Rawalpindi Cricket Stadium,False,0
152,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,24,5,Rawalpindi Cricket Stadium,False,0
153,,February,ODI,Pakistan,Younis Khan,6,AB Agarkar,24,6,Rawalpindi Cricket Stadium,False,0
