id,match_type,month,city,position,bat_team,batsman,bowling_team,venue,score
7693,ODI,January,Brisbane,5,Pakistan,Umar Akmal,Australia,"Brisbane Cricket Ground, Woolloongabba",24
7694,ODI,January,Brisbane,6,Pakistan,Shoaib Malik,Australia,"Brisbane Cricket Ground, Woolloongabba",29
7695,ODI,January,Brisbane,7,Pakistan,Shahid Afridi,Australia,"Brisbane Cricket Ground, Woolloongabba",53
7696,ODI,January,Brisbane,8,Pakistan,Mohammad Amir,Australia,"Brisbane Cricket Ground, Woolloongabba",0
7697,ODI,January,Brisbane,9,Pakistan,Naved-ul-Hasan,Australia,"Brisbane Cricket Ground, Woolloongabba",8
7698,ODI,January,Brisbane,10,Pakistan,Saeed Ajmal,Australia,"Brisbane Cricket Ground, Woolloongabba",2
7699,ODI,January,Brisbane,11,Pakistan,Mohammad Asif,Australia,"Brisbane Cricket Ground, Woolloongabba",0
7700,ODI,January,Brisbane,1,Australia,SR Watson,Pakistan,"Brisbane Cricket Ground, Woolloongabba",10
7701,ODI,January,Brisbane,2,Australia,SE Marsh,Pakistan,"Brisbane Cricket Ground, Woolloongabba",19
7702,ODI,January,Brisbane,3,Australia,RT Ponting,Pakistan,"Brisbane Cricket Ground, Woolloongabba",33
7703,ODI,January,Brisbane,4,Australia,MJ Clarke,Pakistan,"Brisbane Cricket Ground, Woolloongabba",60
7704,ODI,January,Brisbane,5,Australia,CL White,Pakistan,"Brisbane Cricket Ground, Woolloongabba",106
7705,ODI,January,Brisbane,6,Australia,MEK Hussey,Pakistan,"Brisbane Cricket Ground, Woolloongabba",40
7706,ODI,January,Brisbane,7,Australia,BJ Haddin,Pakistan,"Brisbane Cricket Ground, Woolloongabba",7
7707,ODI,January,,1,Australia,SR Watson,Pakistan,Adelaide Oval,34
7708,ODI,January,,2,Australia,SE Marsh,Pakistan,Adelaide Oval,85
7709,ODI,January,,3,Australia,RT Ponting,Pakistan,Adelaide Oval,0
7710,ODI,January,,4,Australia,MJ Clarke,Pakistan,Adelaide Oval,86
7711,ODI,January,,5,Australia,CL White,Pakistan,Adelaide Oval,28
7712,ODI,January,,6,Australia,MEK Hussey,Pakistan,Adelaide Oval,51
7713,ODI,January,,7,Australia,BJ Haddin,Pakistan,Adelaide Oval,1
7714,ODI,January,,8,Australia,NM Hauritz,Pakistan,Adelaide Oval,1
7715,ODI,January,,1,Pakistan,Salman Butt,Australia,Adelaide Oval,34
7716,ODI,January,,2,Pakistan,Kamran Akmal,Australia,Adelaide Oval,1
7717,ODI,January,,3,Pakistan,Younis Khan,Australia,Adelaide Oval,12
7718,ODI,January,,4,Pakistan,Mohammad Yousuf,Australia,Adelaide Oval,11
7719,ODI,January,,5,Pakistan,Umar Akmal,Australia,Adelaide Oval,62
7720,ODI,January,,6,Pakistan,Fawad Alam,Australia,Adelaide Oval,34
7721,ODI,January,,7,Pakistan,Shahid Afridi,Australia,Adelaide Oval,41
7722,ODI,January,,8,Pakistan,Naved-ul-Hasan,Australia,Adelaide Oval,37
7723,ODI,January,,9,Pakistan,Umar Gul,Australia,Adelaide Oval,0
7724,ODI,January,,10,Pakistan,Saeed Ajmal,Australia,Adelaide Oval,13
