id,month,city,match_type,batting_team,bowling_team,run_rate_first_ten,run_rate_second_ten,run_rate_third_ten,run_rate_forth_ten,run_rate_fifth_ten
458,March,Centurion,ODI,South Africa,Pakistan,6,4,3,4,0
459,March,Centurion,ODI,Pakistan,South Africa,4,4,4,6,0
460,January,Durban,ODI,Pakistan,South Africa,4,3,2,6,3
461,January,Durban,ODI,South Africa,Pakistan,5,4,5,4,1
462,June,Birmingham,ODI,South Africa,Pakistan,5,3,3,3,5
463,June,Birmingham,ODI,Pakistan,South Africa,4,3,4,0,0
464,October,Lahore,ODI,Pakistan,South Africa,3,4,6,4,7
465,October,Lahore,ODI,South Africa,Pakistan,5,3,3,6,5
466,November,,ODI,South Africa,Pakistan,3,5,4,3,6
467,November,,ODI,Pakistan,South Africa,2,3,5,3,7
468,February,Centurion,ODI,South Africa,Pakistan,6,8,5,4,14
469,February,Centurion,ODI,Pakistan,South Africa,7,5,2,4,2
470,October,,ODI,South Africa,Pakistan,4,2,4,3,3
471,October,,ODI,Pakistan,South Africa,2,5,3,5,1
472,November,Centurion,ODI,Pakistan,South Africa,4,3,2,4,3
473,November,Centurion,ODI,South Africa,Pakistan,4,4,4,3,0
474,March,Benoni,ODI,Pakistan,South Africa,3,4,4,3,3
475,March,Benoni,ODI,South Africa,Pakistan,3,4,6,4,2
476,November,Port Elizabeth,ODI,Pakistan,South Africa,4,5,6,5,4
477,November,Port Elizabeth,ODI,South Africa,Pakistan,3,5,5,8,2
478,March,Auckland,ODI,Pakistan,South Africa,4,6,4,5,1
479,March,Auckland,ODI,South Africa,Pakistan,6,5,6,1,0
480,October,Chandigarh,ODI,South Africa,Pakistan,3,3,4,4,5
481,October,Chandigarh,ODI,Pakistan,South Africa,2,4,1,0,0
482,November,,ODI,South Africa,Pakistan,5,4,5,3,8
483,November,,ODI,Pakistan,South Africa,6,4,5,4,6
484,October,Faisalabad,ODI,South Africa,Pakistan,4,3,3,4,3
485,October,Faisalabad,ODI,Pakistan,South Africa,5,2,3,3,4
486,March,Durban,ODI,South Africa,Pakistan,4,5,4,4,5
487,March,Durban,ODI,Pakistan,South Africa,3,3,5,6,5
488,May,Potchefstroom,ODI,South Africa,Pakistan,4,1,0,0,0
489,May,Potchefstroom,ODI,Pakistan,South Africa,3,2,0,0,0
490,October,Abu Dhabi,ODI,Pakistan,South Africa,4,4,5,3,2
491,October,Abu Dhabi,ODI,South Africa,Pakistan,5,5,5,4,0
492,October,Lahore,ODI,South Africa,Pakistan,6,4,5,6,7
493,October,Lahore,ODI,Pakistan,South Africa,4,4,4,6,4
494,January,Cape Town,ODI,Pakistan,South Africa,5,5,3,3,6
495,January,Cape Town,ODI,South Africa,Pakistan,7,7,4,4,0
496,January,Centurion,ODI,Pakistan,South Africa,4,5,6,6,8
497,January,Centurion,ODI,South Africa,Pakistan,6,5,7,0,0
498,November,,ODI,South Africa,Pakistan,7,5,6,3,8
499,November,,ODI,Pakistan,South Africa,7,3,5,7,2
500,February,Johannesburg,ODI,Pakistan,South Africa,4,3,3,3,0
501,February,Johannesburg,ODI,South Africa,Pakistan,5,5,4,0,0
502,November,Abu Dhabi,ODI,South Africa,Pakistan,5,5,4,4,5
503,November,Abu Dhabi,ODI,Pakistan,South Africa,5,3,2,5,1
504,November,,ODI,Pakistan,South Africa,4,4,4,3,5
505,November,,ODI,South Africa,Pakistan,3,2,3,4,0
506,June,London,ODI,Pakistan,South Africa,6,3,5,7,8
507,June,London,ODI,South Africa,Pakistan,4,5,4,5,6
508,June,Edinburgh,T20,Pakistan,Scotland,9,11,0,0,0
509,June,Edinburgh,T20,Scotland,Pakistan,8,7,0,0,0
510,September,Durban,T20,Pakistan,Scotland,7,9,0,0,0
511,September,Durban,T20,Scotland,Pakistan,7,4,0,0,0
512,June,Edinburgh,T20,Pakistan,Scotland,8,8,0,0,0
513,June,Edinburgh,T20,Scotland,Pakistan,6,1,0,0,0
514,April,Karachi,ODI,Pakistan,Bangladesh,7,4,6,7,7
515,April,Karachi,ODI,Bangladesh,Pakistan,4,4,3,4,0
516,June,,ODI,Pakistan,Bangladesh,7,5,6,7,12
517,June,,ODI,Bangladesh,Pakistan,5,3,3,7,4
518,April,Mirpur,ODI,Pakistan,Bangladesh,6,3,5,5,3
519,April,Mirpur,ODI,Bangladesh,Pakistan,5,4,7,7,0
520,March,Mirpur,ODI,Pakistan,Bangladesh,4,2,4,5,6
521,March,Mirpur,ODI,Bangladesh,Pakistan,4,3,3,5,7
522,July,Karachi,ODI,Bangladesh,Pakistan,4,3,1,1,0
523,July,Karachi,ODI,Pakistan,Bangladesh,5,6,0,0,0
524,April,,ODI,Bangladesh,Pakistan,3,4,3,5,4
525,April,,ODI,Pakistan,Bangladesh,7,3,3,5,2
526,April,Lahore,ODI,Pakistan,Bangladesh,5,8,5,5,6
527,April,Lahore,ODI,Bangladesh,Pakistan,5,6,4,4,7
528,March,Mirpur,ODI,Pakistan,Bangladesh,3,6,4,4,6
529,March,Mirpur,ODI,Bangladesh,Pakistan,4,4,5,5,4
530,December,Mirpur,ODI,Bangladesh,Pakistan,2,3,3,0,0
531,December,Mirpur,ODI,Pakistan,Bangladesh,4,2,2,0,0
532,June,Mirpur,ODI,Pakistan,Bangladesh,6,5,5,5,0
533,June,Mirpur,ODI,Bangladesh,Pakistan,4,3,4,4,0
534,March,Mirpur,ODI,Bangladesh,Pakistan,4,6,5,4,11
535,March,Mirpur,ODI,Pakistan,Bangladesh,5,4,5,6,10
536,September,Abu Dhabi,ODI,Bangladesh,Pakistan,3,5,5,4,4
537,September,Abu Dhabi,ODI,Pakistan,Bangladesh,3,4,2,5,3
538,December,Chittagong,ODI,Pakistan,Bangladesh,3,2,4,3,2
539,December,Chittagong,ODI,Bangladesh,Pakistan,3,4,3,1,0
540,July,London,ODI,Pakistan,Bangladesh,4,5,6,7,7
541,July,London,ODI,Bangladesh,Pakistan,4,4,5,4,2
542,April,Mirpur,ODI,Pakistan,Bangladesh,4,3,2,6,6
543,April,Mirpur,ODI,Bangladesh,Pakistan,8,4,5,5,0
544,October,Karachi,ODI,Bangladesh,Pakistan,4,1,1,2,3
545,October,Karachi,ODI,Pakistan,Bangladesh,2,4,3,2,0
546,December,Mirpur,ODI,Pakistan,Bangladesh,3,4,4,7,6
547,December,Mirpur,ODI,Bangladesh,Pakistan,2,2,4,3,6
548,April,Faisalabad,ODI,Bangladesh,Pakistan,5,3,4,4,4
549,April,Faisalabad,ODI,Pakistan,Bangladesh,6,7,2,0,0
550,February,Colombo,ODI,Pakistan,Bangladesh,5,2,4,5,5
551,February,Colombo,ODI,Bangladesh,Pakistan,2,4,2,4,2
552,April,Mirpur,ODI,Bangladesh,Pakistan,4,2,7,9,8
553,April,Mirpur,ODI,Pakistan,Bangladesh,5,5,6,4,3
554,April,Lahore,ODI,Pakistan,Bangladesh,3,4,6,7,9
555,April,Lahore,ODI,Bangladesh,Pakistan,4,2,5,0,0
556,July,Dublin,ODI,Pakistan,Ireland,4,3,5,5,5
557,July,Dublin,ODI,Ireland,Pakistan,4,5,2,1,0
558,July,Dublin,ODI,Pakistan,Ireland,5,2,5,8,5
559,July,Dublin,ODI,Ireland,Pakistan,6,3,2,0,0
560,March,,ODI,Ireland,Pakistan,5,4,4,5,4
561,March,,ODI,Pakistan,Ireland,7,4,4,5,2
562,May,Dublin,ODI,Pakistan,Ireland,3,4,4,8,5
563,May,Dublin,ODI,Ireland,Pakistan,5,4,5,7,4
564,March,Jamaica,ODI,Pakistan,Ireland,5,2,3,2,0
565,March,Jamaica,ODI,Ireland,Pakistan,3,2,2,3,0
566,February,,ODI,Pakistan,Ireland,5,5,5,5,5
567,February,,ODI,Ireland,Pakistan,3,3,3,5,3
568,May,Dublin,ODI,Ireland,Pakistan,2,4,3,7,5
569,May,Dublin,ODI,Pakistan,Ireland,2,3,4,4,8
570,August,Dublin,ODI,Pakistan,Ireland,5,8,8,5,6
571,August,Dublin,ODI,Ireland,Pakistan,3,4,0,0,0
572,February,Hambantota,ODI,Pakistan,Kenya,4,4,5,6,10
573,February,Hambantota,ODI,Kenya,Pakistan,3,2,3,1,0
574,June,Nottingham,T20,Pakistan,South Africa,8,6,0,0,0
575,June,Nottingham,T20,South Africa,Pakistan,6,7,0,0,0
576,November,,T20,Pakistan,South Africa,4,5,0,0,0
577,November,,T20,South Africa,Pakistan,5,4,0,0,0
578,January,Doha,T20,South Africa,Pakistan,3,3,0,0,0
579,January,Doha,T20,Pakistan,South Africa,4,2,0,0,0
580,May,St Lucia,T20,Pakistan,South Africa,6,7,0,0,0
581,May,St Lucia,T20,South Africa,Pakistan,5,8,0,0,0
582,May,Pietermaritzburg,T20,Pakistan,South Africa,5,7,0,0,0
583,May,Pietermaritzburg,T20,South Africa,Pakistan,5,7,0,0,0
584,September,Colombo,T20,South Africa,Pakistan,5,8,0,0,0
585,September,Colombo,T20,Pakistan,South Africa,5,7,0,0,0
586,May,Pietermaritzburg,T20,South Africa,Pakistan,6,7,0,0,0
587,May,Pietermaritzburg,T20,Pakistan,South Africa,7,6,0,0,0
588,October,Abu Dhabi,T20,Pakistan,South Africa,5,6,0,0,0
589,October,Abu Dhabi,T20,South Africa,Pakistan,6,6,0,0,0
590,February,Johannesburg,T20,South Africa,Pakistan,7,11,0,0,0
591,February,Johannesburg,T20,Pakistan,South Africa,10,7,0,0,0
592,November,,T20,South Africa,Pakistan,7,7,0,0,0
593,November,,T20,Pakistan,South Africa,8,6,0,0,0
594,March,,T20,South Africa,Pakistan,5,4,0,0,0
595,March,,T20,Pakistan,South Africa,5,4,0,0,0
596,March,Sydney,T20,South Africa,Pakistan,5,7,0,0,0
597,March,Sydney,T20,Pakistan,South Africa,5,6,0,0,0
598,February,Centurion,T20,Pakistan,South Africa,9,7,0,0,0
599,February,Centurion,T20,South Africa,Pakistan,7,7,0,0,0
600,March,,T20,Pakistan,South Africa,3,6,0,0,0
601,March,,T20,South Africa,Pakistan,5,4,0,0,0
602,May,Benoni,T20,Pakistan,South Africa,7,9,0,0,0
603,May,Benoni,T20,South Africa,Pakistan,9,8,0,0,0
604,March,,T20,South Africa,Pakistan,4,4,0,0,0
605,March,,T20,Pakistan,South Africa,3,5,0,0,0
606,November,Cape Town,T20,Pakistan,South Africa,6,10,0,0,0
607,November,Cape Town,T20,South Africa,Pakistan,8,8,0,0,0
608,January,Doha,T20,South Africa,Pakistan,3,2,0,0,0
609,January,Doha,T20,Pakistan,South Africa,5,1,0,0,0
610,March,Centurion,T20,Pakistan,South Africa,11,8,0,0,0
611,March,Centurion,T20,South Africa,Pakistan,8,1,0,0,0
612,May,Pretoria,T20,South Africa,Pakistan,4,7,0,0,0
613,May,Pretoria,T20,Pakistan,South Africa,6,5,0,0,0
614,October,Abu Dhabi,T20,Pakistan,South Africa,8,3,0,0,0
615,October,Abu Dhabi,T20,South Africa,Pakistan,6,5,0,0,0
616,May,Benoni,T20,Pakistan,South Africa,5,6,0,0,0
617,May,Benoni,T20,South Africa,Pakistan,7,5,0,0,0
618,February,Cape Town,T20,South Africa,Pakistan,10,8,0,0,0
619,February,Cape Town,T20,Pakistan,South Africa,9,9,0,0,0
620,November,Johannesburg,T20,South Africa,Pakistan,8,6,0,0,0
621,November,Johannesburg,T20,Pakistan,South Africa,6,0,0,0,0
622,May,Edinburgh,ODI,Pakistan,Scotland,4,3,3,4,6
623,May,Edinburgh,ODI,Scotland,Pakistan,4,2,2,3,0
624,September,Abu Dhabi,ODI,Afghanistan,Pakistan,3,4,4,6,7
625,September,Abu Dhabi,ODI,Pakistan,Afghanistan,3,4,6,5,6
626,February,,ODI,Afghanistan,Pakistan,6,3,3,3,3
627,February,,ODI,Pakistan,Afghanistan,4,5,4,5,0
628,February,Fatullah,ODI,Pakistan,Afghanistan,5,3,4,4,7
629,February,Fatullah,ODI,Afghanistan,Pakistan,4,2,3,5,1
630,June,Leeds,ODI,Afghanistan,Pakistan,5,5,3,4,4
631,June,Leeds,ODI,Pakistan,Afghanistan,5,3,3,3,6
632,January,,T20,Pakistan,Sri Lanka,4,6,0,0,0
633,January,,T20,Sri Lanka,Pakistan,7,4,0,0,0
634,October,Lahore,T20,Sri Lanka,Pakistan,7,7,0,0,0
635,October,Lahore,T20,Pakistan,Sri Lanka,7,6,0,0,0
636,October,Abu Dhabi,T20,Sri Lanka,Pakistan,6,3,0,0,0
637,October,Abu Dhabi,T20,Pakistan,Sri Lanka,6,4,0,0,0
638,June,Hambantota,T20,Pakistan,Sri Lanka,4,7,0,0,0
639,June,Hambantota,T20,Sri Lanka,Pakistan,5,4,0,0,0
640,October,Colombo,T20,Sri Lanka,Pakistan,6,7,0,0,0
641,October,Colombo,T20,Pakistan,Sri Lanka,6,5,0,0,0
642,June,Hambantota,T20,Sri Lanka,Pakistan,6,7,0,0,0
643,June,Hambantota,T20,Pakistan,Sri Lanka,5,3,0,0,0
644,December,,T20,Sri Lanka,Pakistan,6,7,0,0,0
645,December,,T20,Pakistan,Sri Lanka,7,7,0,0,0
646,June,London,T20,Sri Lanka,Pakistan,8,6,0,0,0
647,June,London,T20,Pakistan,Sri Lanka,6,6,0,0,0
648,November,Abu Dhabi,T20,Sri Lanka,Pakistan,9,4,0,0,0
649,November,Abu Dhabi,T20,Pakistan,Sri Lanka,6,7,0,0,0
650,January,,T20,Pakistan,Sri Lanka,6,6,0,0,0
651,January,,T20,Sri Lanka,Pakistan,4,2,0,0,0
652,July,Dublin,T20,Pakistan,Sri Lanka,5,6,0,0,0
653,August,Colombo,T20,Pakistan,Sri Lanka,9,8,0,0,0
654,August,Colombo,T20,Sri Lanka,Pakistan,8,3,0,0,0
655,June,London,T20,Sri Lanka,Pakistan,6,7,0,0,0
656,June,London,T20,Pakistan,Sri Lanka,6,7,0,0,0
657,April,,T20,Pakistan,Sri Lanka,4,8,0,0,0
658,April,,T20,Sri Lanka,Pakistan,4,6,0,0,0
659,June,Kuala Lumpur,T20,Pakistan,Sri Lanka,6,7,0,0,0
660,June,Kuala Lumpur,T20,Sri Lanka,Pakistan,6,5,0,0,0
661,March,Mirpur,T20,Sri Lanka,Pakistan,8,6,0,0,0
662,March,Mirpur,T20,Pakistan,Sri Lanka,8,7,0,0,0
663,March,Colombo,T20,Sri Lanka,Pakistan,5,6,0,0,0
664,March,Colombo,T20,Pakistan,Sri Lanka,7,5,0,0,0
665,October,Lahore,T20,Sri Lanka,Pakistan,9,8,0,0,0
666,October,Lahore,T20,Pakistan,Sri Lanka,7,7,0,0,0
667,March,Colombo,T20,Pakistan,Sri Lanka,5,2,0,0,0
668,March,Colombo,T20,Sri Lanka,Pakistan,6,1,0,0,0
669,December,,T20,Sri Lanka,Pakistan,9,11,0,0,0
670,December,,T20,Pakistan,Sri Lanka,9,9,0,0,0
671,October,Lahore,T20,Sri Lanka,Pakistan,9,7,0,0,0
672,October,Lahore,T20,Pakistan,Sri Lanka,6,3,0,0,0
673,October,King City,T20,Sri Lanka,Pakistan,8,5,0,0,0
674,October,King City,T20,Pakistan,Sri Lanka,6,7,0,0,0
675,October,Abu Dhabi,T20,Sri Lanka,Pakistan,6,5,0,0,0
676,October,Abu Dhabi,T20,Pakistan,Sri Lanka,5,6,0,0,0
677,October,King City,T20,Pakistan,Sri Lanka,7,5,0,0,0
678,October,King City,T20,Sri Lanka,Pakistan,7,5,0,0,0
679,October,Lahore,T20,Pakistan,Sri Lanka,8,9,0,0,0
680,October,Lahore,T20,Sri Lanka,Pakistan,7,7,0,0,0
681,August,Colombo,T20,Sri Lanka,Pakistan,7,9,0,0,0
682,August,Colombo,T20,Pakistan,Sri Lanka,7,10,0,0,0
683,September,Johannesburg,T20,Pakistan,Sri Lanka,8,10,0,0,0
684,September,Johannesburg,T20,Sri Lanka,Pakistan,9,6,0,0,0
685,July,Colombo,T20,Pakistan,Sri Lanka,7,9,0,0,0
686,July,Colombo,T20,Sri Lanka,Pakistan,6,8,0,0,0
687,December,,T20,Afghanistan,Pakistan,7,6,0,0,0
688,December,,T20,Pakistan,Afghanistan,6,6,0,0,0
689,November,Abu Dhabi,ODI,Sri Lanka,Pakistan,4,4,4,3,4
690,November,Abu Dhabi,ODI,Pakistan,Sri Lanka,3,5,4,4,3
691,August,Hambantota,ODI,Sri Lanka,Pakistan,4,4,5,8,4
692,August,Hambantota,ODI,Pakistan,Sri Lanka,4,5,5,9,3
693,November,,ODI,Pakistan,Sri Lanka,4,6,5,4,5
694,November,,ODI,Sri Lanka,Pakistan,6,4,4,3,4
695,August,,ODI,Pakistan,Sri Lanka,6,4,3,7,7
696,August,,ODI,Sri Lanka,Pakistan,7,4,6,5,4
697,June,Colombo,ODI,Pakistan,Sri Lanka,1,0,0,0,0
698,August,,ODI,Pakistan,Sri Lanka,3,3,2,0,0
699,August,,ODI,Sri Lanka,Pakistan,6,3,0,0,0
700,June,Cardiff,ODI,Sri Lanka,Pakistan,6,4,5,2,4
701,June,Cardiff,ODI,Pakistan,Sri Lanka,7,4,4,4,3
702,March,Colombo,ODI,Pakistan,Sri Lanka,3,2,5,4,5
703,June,Colombo,ODI,Sri Lanka,Pakistan,4,3,3,7,6
704,June,Colombo,ODI,Pakistan,Sri Lanka,3,4,4,5,2
705,July,Leicester,ODI,Sri Lanka,Pakistan,4,3,3,4,6
706,July,Leicester,ODI,Pakistan,Sri Lanka,3,3,6,4,3
707,September,Karachi,ODI,Pakistan,Sri Lanka,5,5,5,6,8
708,September,Karachi,ODI,Sri Lanka,Pakistan,3,4,5,6,3
709,November,,ODI,Pakistan,Sri Lanka,4,2,4,4,4
710,November,,ODI,Sri Lanka,Pakistan,5,2,3,4,1
711,February,Colombo,ODI,Pakistan,Sri Lanka,3,4,4,3,4
712,February,Colombo,ODI,Sri Lanka,Pakistan,4,4,3,5,3
713,August,,ODI,Pakistan,Sri Lanka,3,2,3,3,3
714,August,,ODI,Sri Lanka,Pakistan,4,2,4,4,1
715,October,Abu Dhabi,ODI,Sri Lanka,Pakistan,5,3,3,2,5
716,October,Abu Dhabi,ODI,Pakistan,Sri Lanka,5,4,5,4,1
717,December,Abu Dhabi,ODI,Sri Lanka,Pakistan,5,4,4,4,3
718,December,Abu Dhabi,ODI,Pakistan,Sri Lanka,6,5,4,6,0
719,February,Colombo,ODI,Pakistan,Sri Lanka,6,4,5,5,6
720,February,Colombo,ODI,Sri Lanka,Pakistan,4,4,3,5,8
721,October,,ODI,Pakistan,Sri Lanka,3,5,4,6,8
722,October,,ODI,Sri Lanka,Pakistan,5,3,4,4,3
723,July,,ODI,Sri Lanka,Pakistan,4,4,3,3,7
724,July,,ODI,Pakistan,Sri Lanka,4,3,3,4,3
725,August,Hambantota,ODI,Sri Lanka,Pakistan,6,4,5,4,9
726,August,Hambantota,ODI,Pakistan,Sri Lanka,8,3,3,6,0
727,December,,ODI,Pakistan,Sri Lanka,5,6,4,6,9
728,December,,ODI,Sri Lanka,Pakistan,6,3,4,7,9
729,December,,ODI,Pakistan,Sri Lanka,4,4,5,5,8
730,December,,ODI,Sri Lanka,Pakistan,5,3,7,5,7
731,December,Abu Dhabi,ODI,Pakistan,Sri Lanka,5,3,4,4,5
732,December,Abu Dhabi,ODI,Sri Lanka,Pakistan,7,3,3,3,6
733,August,Colombo,ODI,Pakistan,Sri Lanka,5,5,6,5,6
734,August,Colombo,ODI,Sri Lanka,Pakistan,5,3,4,1,0
